Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
C8;C6;C2;C35;C33;C9;C11;C13;C14;C15;C16;C21;C22;C30;C38;C37,.1uF,Capacitors_SMD:C_0402,16,TDK,CGA2B1X7R1C104K050BC,Digikey,445-5613-1-ND
C29,1.7pF,Capacitors_SMD:C_0402,1,Murata,GJM1555C1H1R7WB01D,Digikey,490-11201-1-ND
C32;C31;C19,100pF,Capacitors_SMD:C_0402,3,Yageo,CC0402JRNPO9BN101,Digikey,311-1024-1-ND
C26;C24;C17,10nF,Capacitors_SMD:C_0402,3,Murata,GRM155R71C103KA01D,Digikey,490-1313-1-ND
L4,33nH,Capacitors_SMD:C_0402,1,Bourns,CI100505-33NJ,Digikey,CI100505-33NJCT-ND
C27;C39;C28,470pF,Capacitors_SMD:C_0402,3,AVX,04025C471KAT2A,Digikey,478-1097-1-ND
L1,5.6nH,Capacitors_SMD:C_0402,1,Johansen Technology,L-07C5N6SV6T,Digikey,712-1462-1-ND
C10,10uF,Capacitors_SMD:C_0603_HandSoldering,1,Samsung,CL10B106MQ8NRNC,Digikey,1276-1948-1-ND
C1;C12;C18,1uF,Capacitors_SMD:C_0603_HandSoldering,3,Samsung,CL10B105KP8NNNC,Digikey,1276-1946-1-ND
C20,3300pF,Capacitors_SMD:C_0603_HandSoldering,1,AVX,06035C332KAT4A,Digikey,478-10681-1-ND
C7;C23;C36,10uF,Capacitors_SMD:C_0805,3,Samsung,CL21A106KPFNNNG,Digikey,1276-6456-1-ND
C5;C3,10pF,Capacitors_SMD:C_0805_HandSoldering,2,Kemet,C0805C100K5RAC7800,Digikey,399-17612-1-ND
C25,27pF,Capacitors_SMD:C_0805_HandSoldering,1,AVX,08055C270KAT2A,Digikey,478-11394-1-ND
C4;C34,3.3uF,Capacitors_SMD:C_0805_HandSoldering,2,TDK,C2012X7R1C335K125AB,Digikey,445-7582-1-ND
P2,CONN_01X03,Connectors_Molex:Molex_KK-6410-03_03x2.54mm_Straight,1,Sullins,PREC003SAAN-RC,Digikey,S1012EC-03-ND
W8,+BB,Measurement_Points:Measurement_Point_Round-TH_Small,1,-,-,-,-
W7,-BB,Measurement_Points:Measurement_Point_Round-TH_Small,1,-,-,-,-
W2,D0,Measurement_Points:Measurement_Point_Round-TH_Small,1,-,-,-,-
W3,D1,Measurement_Points:Measurement_Point_Round-TH_Small,1,-,-,-,-
W6,EECLK,Measurement_Points:Measurement_Point_Round-TH_Small,1,-,-,-,-
